Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65ee0ba3137e91a9b448e7e8,5a2c51740a1e6b00016952c8,APPROVED,Not Applicable,2024-03-10T19:36:09.914000Z,2024-03-10T19:44:45.331000Z,2024-03-10T20:47:06.483000Z,2024-03-10T20:47:07.093719Z,516.0,C107BK71,1813,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65ee0bb20cd7bb757c0423ab,5d7e40b17edd0e0016f85e25,RETURNED,Not Applicable,2024-03-10T19:36:22.410000Z,2024-03-10T19:47:22.894000Z,,2024-03-11T10:09:36.922352Z,,C1BH0PQA,345,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65ee0bdd28573de39350dc41,5f2d26d8cc4750288ac0bea1,APPROVED,Not Applicable,2024-03-10T19:37:04.859000Z,2024-03-10T19:44:39.574000Z,2024-03-10T20:47:11.562000Z,2024-03-10T20:47:11.991726Z,455.0,C107BK71,401,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65ee0be4eae2083a56a7a138,5bf530fe92ddb60001d02698,APPROVED,Not Applicable,2024-03-10T19:37:12.103000Z,2024-03-10T19:43:40.011000Z,2024-03-10T19:45:36.124000Z,2024-03-10T19:46:17.068858Z,388.0,C107BK71,1639,45,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ee0c0beae2083a56a7a143,65ea6bf20acb4a11a055e981,APPROVED,Not Applicable,2024-03-10T19:38:05.092000Z,2024-03-10T19:46:45.902000Z,2024-03-10T20:53:03.703000Z,2024-03-10T19:46:53.992229Z,521.0,C107BK71,1,27,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
65ee0c166d0f01e143c7bfbe,633897629c2d1bbec55c547a,RETURNED,Not Applicable,2024-03-10T19:39:00.524000Z,2024-03-10T19:40:38.828000Z,,2024-03-10T19:46:01.803722Z,,C1BH0PQA,628,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65ee0c29bc066fbabece1f29,5de57a5b1017854f8a4efca3,APPROVED,Not Applicable,2024-03-10T19:38:17.251000Z,2024-03-10T19:45:03.229000Z,2024-03-10T19:46:01.230000Z,2024-03-10T19:46:25.211348Z,406.0,C107BK71,1221,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65ee0c2e28573de39350dc5e,5cae5f9c48514600183d8fac,APPROVED,Not Applicable,2024-03-10T19:38:27.816000Z,2024-03-10T19:48:21.150000Z,2024-03-10T20:53:08.738000Z,2024-03-10T19:48:22.097703Z,594.0,C107BK71,936,42,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65ee0c422199a9b6fcab1a2d,63d79d7e23a410a0bcdb390a,TIMED-OUT,Not Applicable,2024-03-10T19:38:42.429000Z,,,2024-03-11T10:09:36.922397Z,52255.0,,528,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
65ee0c47acf6f0acb7cfb114,5797bc9aad1a6c000146818c,APPROVED,Not Applicable,2024-03-10T19:38:51.792000Z,2024-03-10T19:46:49.249000Z,2024-03-10T19:51:55.106000Z,2024-03-10T19:46:53.983806Z,478.0,C107BK71,846,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
